solvent,solvent_molar_mass_g_mol,ln_gamma_inf,x_inf,g_per_g_inf,ln_gamma_iter,x_iter,g_per_g_iter,residual,status
GVL,100.11582,-3.164232388058551,0.04973036162098897,0.3337967183481221,-2.6396528637436063,0.029430634453680903,0.19341063202466294,1.0658141036401503e-14,root
Formic_acid,46.02538,4.151561838725282,3.306835214945439e-05,0.0004588170416932289,4.148276995503771,3.317715510439717e-05,0.0004603267119050616,1.4281908988778014e-12,root
