solvent,quantity,n_conformers,mean,median,stdev,min,max
GVL,ln_gamma_inf,10,-2.020748631381985,-1.978834308485414,0.8197684570449387,-3.164232388058551,-0.9978252599458983
GVL,x_inf,10,0.021188094029145895,0.015484744520419279,0.016477935398022035,0.00569853153536283,0.04973036162098897
GVL,g_per_g_inf,10,0.13975305736714091,0.10037895808381031,0.11107917929083357,0.036555453338066396,0.3337967183481221
GVL,x_iter,10,0.015999731700032067,0.014036141045631532,0.009304574252542164,0.005778973115749701,0.029430634453680903
GVL,g_per_g_iter,10,0.10423416489749672,0.09083932806139661,0.06147676452997558,0.03707447665479253,0.19341063202466294
Formic_acid,ln_gamma_inf,10,4.205560793898659,4.018698530115458,1.6923135726504734,2.3333797055727743,6.771352949097732
Formic_acid,x_inf,10,7.687947325510658e-05,3.8100998462053194e-05,8.143096406510751e-05,2.407973653653566e-06,0.00020372251141890507
Formic_acid,g_per_g_inf,10,0.0010668175018104513,0.0005286470557573247,0.0011300297731548024,3.340914808788978e-05,0.002827093231609215
Formic_acid,x_iter,10,7.802730053068963e-05,3.8256437228049245e-05,8.301275018346258e-05,2.4088063698361255e-06,0.00020800140754252366
Formic_acid,g_per_g_iter,10,0.0010827485749916378,0.000530803838722143,0.0011519848163154519,3.342070153874671e-05,0.002886484581482289
